interaction,order,total,robust_hard,conditional_rate,baseline_rate,enrichment
bridge_le3 AND central_odd AND terminal_min_le2,3,354,0,0.0,0.005113999573833369,0.0
bridge_le3 AND terminal_min_le2,2,937,0,0.0,0.005113999573833369,0.0
bridge_le3 AND terminal_min_le2 AND balanced,3,121,0,0.0,0.005113999573833369,0.0
bridge_le3 AND terminal_min_le2 AND middle_leaf_short,3,135,0,0.0,0.005113999573833369,0.0
bridge_le3 AND terminal_min_le2 AND unbalanced_ge9,3,279,0,0.0,0.005113999573833369,0.0
central_even AND terminal_min_le2,2,541,0,0.0,0.005113999573833369,0.0
central_even AND terminal_min_le2 AND balanced,3,69,0,0.0,0.005113999573833369,0.0
central_even AND terminal_min_le2 AND middle_leaf_short,3,86,0,0.0,0.005113999573833369,0.0
central_even AND terminal_min_le2 AND unbalanced_ge9,3,156,0,0.0,0.005113999573833369,0.0
central_even AND unbalanced_ge9 AND middle_leaf_short,3,39,0,0.0,0.005113999573833369,0.0
central_odd AND balanced AND middle_leaf_short,3,45,0,0.0,0.005113999573833369,0.0
central_odd AND terminal_min_le2,2,508,0,0.0,0.005113999573833369,0.0
central_odd AND terminal_min_le2 AND balanced,3,81,0,0.0,0.005113999573833369,0.0
central_odd AND terminal_min_le2 AND middle_leaf_short,3,142,0,0.0,0.005113999573833369,0.0
central_odd AND terminal_min_le2 AND unbalanced_ge9,3,133,0,0.0,0.005113999573833369,0.0
fiveleaf2e AND balanced,2,241,0,0.0,0.005113999573833369,0.0
fiveleaf2e AND balanced AND terminal_min_ge3,3,155,0,0.0,0.005113999573833369,0.0
fiveleaf2e AND bridge_eq3,2,166,0,0.0,0.005113999573833369,0.0
fiveleaf2e AND bridge_eq3 AND terminal_min_ge3,3,94,0,0.0,0.005113999573833369,0.0
fiveleaf2e AND bridge_eq3 AND terminal_min_le2,3,72,0,0.0,0.005113999573833369,0.0
fiveleaf2e AND bridge_eq3 AND unbalanced_ge9,3,51,0,0.0,0.005113999573833369,0.0
fiveleaf2e AND bridge_le3 AND balanced,3,99,0,0.0,0.005113999573833369,0.0
fiveleaf2e AND bridge_le3 AND bridge_eq3,3,166,0,0.0,0.005113999573833369,0.0
fiveleaf2e AND bridge_le3 AND terminal_min_le2,3,198,0,0.0,0.005113999573833369,0.0
